Spot_Date,Premium,Ticker,Maturity,Interest_rate,Spot,Strike,Type,Implied_Volatility,Delta,Vega,Gamma,Theta,Rho,Lot_size,Name,Reference,ccy_pair,Dividend,DDELTA/DVOL,DDELTA/DVOLDVOL,DDELTA/DTIME,DGAMMA/DSPOT,DGAMMA/DVOL,DVEGA/DVOL,DVEGA/DVOLDVOL,Validation_Status
2025-12-11 00:00:00,10.36,FBTPH26 C 109.5,2025-12-19 00:00:00,0.021,119.86,109.5,C,0.229904685,0.99578246,0.002005393,0.002745466,-0.001741812,0.023889198,1000.0000,BTP Future C 109.5 Dec-2025,FBTPH26,EUR,0,-0.001285633,-0.00028189,0.001904623,-0.002156073,0.000866505,0.000609797,0.000107519,
2025-12-10 00:00:00,10.05,FBTPH26 C 109.5,2025-12-19 00:00:00,0.02082,119.55,109.5,C,0.212980075,0.995372023,0.002303329,0.003038899,-0.001698325,0.026863569,1000.0000,BTP Future C 109.5 Dec-2025,FBTPH26,EUR,0,-0.001488317,-0.00034107,0.001817788,-0.002400983,0.001005319,0.000738258,0.000134958,
2025-12-09 00:00:00,10.12,FBTPH26 C 109.5,2025-12-19 00:00:00,0.02088,119.62,109.5,C,0.205770339,0.994934763,0.002628312,0.003226337,-0.001725055,0.029833988,1000.0000,BTP Future C 109.5 Dec-2025,FBTPH26,EUR,0,-0.001647026,-0.00037798,0.001751462,-0.002474607,0.001075721,0.000851907,0.000154645,
2025-12-11 00:00:00,0.01,FBTPH26 P 109.5,2025-12-19 00:00:00,0.021,119.86,109.5,P,0.249602088,-0.006850619,0.003408685,0.004316448,-0.00448165,-0.000182169,1000.0000,BTP Future P 109.5 Dec-2025,FBTPH26,EUR,0,-0.001859631,-0.000295715,0.002900654,-0.00287917,0.001033142,0.00081337,9.72426E-05,
2025-12-10 00:00:00,0.01,FBTPH26 P 109.5,2025-12-19 00:00:00,0.02082,119.55,109.5,P,0.229410114,-0.007029248,0.003691745,0.004541274,-0.004045427,-0.000209684,1000.0000,BTP Future P 109.5 Dec-2025,FBTPH26,EUR,0,-0.002062706,-0.000353049,0.002628519,-0.003095593,0.001169408,0.000950859,0.000121907,
2025-12-09 00:00:00,0.01,FBTPH26 P 109.5,2025-12-19 00:00:00,0.02088,119.62,109.5,P,0.218909671,-0.00698797,0.003875708,0.004488815,-0.003700503,-0.000231767,1000.0000,BTP Future P 109.5 Dec-2025,FBTPH26,EUR,0,-0.0021521,-0.000386964,0.002355178,-0.003044649,0.001214434,0.001047237,0.000141168,
2025-12-11 00:00:00,9.86,FBTPH26 C 110,2025-12-19 00:00:00,0.021,119.86,110,C,0.218317306,0.995772981,0.002011878,0.002897722,-0.001657762,0.023998537,1000.0000,BTP Future C 110 Dec-2025,FBTPH26,EUR,0,-0.001357378,-0.000313464,0.001909411,-0.002395667,0.000963115,0.000643623,0.00011951,
2025-12-10 00:00:00,9.55,FBTPH26 C 110,2025-12-19 00:00:00,0.02082,119.55,110,C,0.201929166,0.995361617,0.002311065,0.00321246,-0.001613846,0.026986549,1000.0000,BTP Future C 110 Dec-2025,FBTPH26,EUR,0,-0.001573849,-0.000380468,0.001822366,-0.002676145,0.001120913,0.000780432,0.00015048,
2025-12-09 00:00:00,9.62,FBTPH26 C 110,2025-12-19 00:00:00,0.02088,119.62,110,C,0.19516419,0.994923374,0.00263713,0.003409368,-0.001639841,0.0299706,1000.0000,BTP Future C 110 Dec-2025,FBTPH26,EUR,0,-0.001741063,-0.000421345,0.001755881,-0.00275619,0.001198543,0.000900248,0.000172307,
2025-12-11 00:00:00,0.01,FBTPH26 P 110,2025-12-19 00:00:00,0.021,119.86,110,P,0.238416457,-0.007145241,0.003538733,0.004690078,-0.004452833,-0.000189909,1000.0000,BTP Future P 110 Dec-2025,FBTPH26,EUR,0,-0.00200939,-0.000328696,0.002993786,-0.003255065,0.001158799,0.000873479,0.000106775,
2025-12-10 00:00:00,0.01,FBTPH26 P 110,2025-12-19 00:00:00,0.02082,119.55,110,P,0.218834334,-0.007340405,0.003836756,0.004946138,-0.004017394,-0.000218858,1000.0000,BTP Future P 110 Dec-2025,FBTPH26,EUR,0,-0.002233651,-0.000393517,0.002715134,-0.003512047,0.001315818,0.001023117,0.000134155,
2025-12-09 00:00:00,0.01,FBTPH26 P 110,2025-12-19 00:00:00,0.02088,119.62,110,P,0.208883033,-0.007295264,0.004027109,0.00488631,-0.003674317,-0.00024184,1000.0000,BTP Future P 110 Dec-2025,FBTPH26,EUR,0,-0.002329287,-0.000431043,0.002432325,-0.003451447,0.001365476,0.001126311,0.000155271,
2025-12-11 00:00:00,9.36,FBTPH26 C 110.5,2025-12-19 00:00:00,0.021,119.86,110.5,C,0.206782636,0.995763515,0.002018689,0.003066253,-0.00157371,0.024107877,1000.0000,BTP Future C 110.5 Dec-2025,FBTPH26,EUR,0,-0.001436793,-0.000350364,0.00191419,-0.002675559,0.001075994,0.000681064,0.00013352,
2025-12-10 00:00:00,9.05,FBTPH26 C 110.5,2025-12-19 00:00:00,0.02082,119.55,110.5,C,0.190928527,0.995351225,0.002319238,0.003405206,-0.001529364,0.027109529,1000.0000,BTP Future C 110.5 Dec-2025,FBTPH26,EUR,0,-0.001668838,-0.000426742,0.001826936,-0.002999185,0.001256644,0.000827268,0.000168705,
2025-12-09 00:00:00,9.12,FBTPH26 C 110.5,2025-12-19 00:00:00,0.02088,119.62,110.5,C,0.184606293,0.994912002,0.002646443,0.003612477,-0.001554625,0.030107212,1000.0000,BTP Future C 110.5 Dec-2025,FBTPH26,EUR,0,-0.001845417,-0.000472218,0.001760293,-0.003086387,0.001342595,0.000953892,0.000193021,
2025-12-08 00:00:00,8.93,FBTPH26 C 110.5,2025-12-19 00:00:00,0.02069,119.43,110.5,C,0.17411253,0.994528241,0.002954767,0.003896931,-0.001514214,0.033104407,1000.0000,BTP Future C 110.5 Dec-2025,FBTPH26,EUR,0,-0.002065135,-0.000545444,0.001690766,-0.003334347,0.001499704,0.001107341,0.000229616,
2025-12-05 00:00:00,9.79,FBTPH26 C 110.5,2025-12-19 00:00:00,0.02075,120.29,110.5,C,0.173253165,0.993321202,0.00398049,0.004093402,-0.001653063,0.042075372,1000.0000,BTP Future C 110.5 Dec-2025,FBTPH26,EUR,0,-0.002396254,-0.000587152,0.001539179,-0.003038625,0.001494594,0.001421912,0.000267444,
2025-12-04 00:00:00,9.89,FBTPH26 C 110.5,2025-12-19 00:00:00,0.02055,120.39,110.5,C,0.170172203,0.992987929,0.004299792,0.00419491,-0.001649285,0.045063986,1000.0000,BTP Future C 110.5 Dec-2025,FBTPH26,EUR,0,-0.002526301,-0.000617601,0.001488927,-0.003042545,0.001535545,0.001542688,0.000287734,
2025-12-03 00:00:00,10.13,FBTPH26 C 110.5,2025-12-19 00:00:00,0.02029,120.63,110.5,C,0.169612763,0.992688265,0.004610532,0.004215366,-0.001663341,0.048051662,1000.0000,BTP Future C 110.5 Dec-2025,FBTPH26,EUR,0,-0.002610713,-0.000628908,0.001438965,-0.002952992,0.001529089,0.001640319,0.000299816,
